analysis_set,fpr,tpr,threshold,roc_auc,n,n_pos,n_neg
original,0.015556207807455239,0.0472972972972973,0.9002186,0.8400072089259792,3999,592,3407
original,0.015849721162312886,0.0472972972972973,0.9001987,0.8400072089259792,3999,592,3407
original,0.015849721162312886,0.052364864864864864,0.8988267,0.8400072089259792,3999,592,3407
original,0.01614323451717053,0.052364864864864864,0.8986281,0.8400072089259792,3999,592,3407
original,0.01614323451717053,0.07263513513513513,0.8906051,0.8400072089259792,3999,592,3407
original,0.016436747872028177,0.07263513513513513,0.89049244,0.8400072089259792,3999,592,3407
original,0.016436747872028177,0.07601351351351351,0.8899147,0.8400072089259792,3999,592,3407
original,0.016730261226885822,0.07601351351351351,0.8897593,0.8400072089259792,3999,592,3407
original,0.016730261226885822,0.07939189189189189,0.8889328,0.8400072089259792,3999,592,3407
original,0.017023774581743468,0.07939189189189189,0.8888819,0.8400072089259792,3999,592,3407
original,0.017023774581743468,0.08952702702702703,0.88611823,0.8400072089259792,3999,592,3407
original,0.017023774581743468,0.0929054054054054,0.8860914,0.8400072089259792,3999,592,3407
original,0.017023774581743468,0.09628378378378379,0.8859022,0.8400072089259792,3999,592,3407
original,0.017317287936601117,0.09628378378378379,0.8858751,0.8400072089259792,3999,592,3407
original,0.017317287936601117,0.10135135135135136,0.884843,0.8400072089259792,3999,592,3407
original,0.017904314646316408,0.10135135135135136,0.8844115,0.8400072089259792,3999,592,3407
original,0.017904314646316408,0.10641891891891891,0.88368016,0.8400072089259792,3999,592,3407
original,0.018197828001174053,0.10641891891891891,0.8834127,0.8400072089259792,3999,592,3407
original,0.018197828001174053,0.10810810810810811,0.8827009,0.8400072089259792,3999,592,3407
original,0.0184913413560317,0.10810810810810811,0.8818769,0.8400072089259792,3999,592,3407
original,0.0184913413560317,0.1097972972972973,0.8816715,0.8400072089259792,3999,592,3407
original,0.018784854710889344,0.1097972972972973,0.8816533,0.8400072089259792,3999,592,3407
original,0.018784854710889344,0.11148648648648649,0.88103485,0.8400072089259792,3999,592,3407
original,0.01937188142060464,0.11148648648648649,0.88096476,0.8400072089259792,3999,592,3407
original,0.01937188142060464,0.11486486486486487,0.8796947,0.8400072089259792,3999,592,3407
original,0.020252421485177575,0.11486486486486487,0.8778006,0.8400072089259792,3999,592,3407
original,0.020252421485177575,0.11655405405405406,0.8775928,0.8400072089259792,3999,592,3407
original,0.02083944819489287,0.11655405405405406,0.8772012,0.8400072089259792,3999,592,3407
original,0.02083944819489287,0.12162162162162163,0.8766782,0.8400072089259792,3999,592,3407
original,0.02142647490460816,0.12162162162162163,0.87551343,0.8400072089259792,3999,592,3407
