analysis_set,recall,precision,threshold,pr_auc,n,n_pos,n_neg
original,1.0,0.15320910973084886,0.13669963,0.44064149552255333,3999,592,3407
original,1.0,0.15324877038571058,0.1367712,0.44064149552255333,3999,592,3407
original,1.0,0.1532884515794925,0.13701913,0.44064149552255333,3999,592,3407
original,1.0,0.15332815332815333,0.13740481,0.44064149552255333,3999,592,3407
original,1.0,0.1533678756476684,0.13832068,0.44064149552255333,3999,592,3407
original,1.0,0.15340761855402954,0.13832842,0.44064149552255333,3999,592,3407
original,1.0,0.1534473820632452,0.13834637,0.44064149552255333,3999,592,3407
original,1.0,0.15348716619134042,0.13848141,0.44064149552255333,3999,592,3407
original,1.0,0.15352697095435686,0.13942185,0.44064149552255333,3999,592,3407
original,1.0,0.1535667963683528,0.13962641,0.44064149552255333,3999,592,3407
original,1.0,0.15360664244940322,0.14074141,0.44064149552255333,3999,592,3407
original,1.0,0.1536465092135998,0.14176978,0.44064149552255333,3999,592,3407
original,1.0,0.1536863966770509,0.14210522,0.44064149552255333,3999,592,3407
original,1.0,0.1537263048558816,0.14213283,0.44064149552255333,3999,592,3407
original,1.0,0.15376623376623377,0.14231801,0.44064149552255333,3999,592,3407
original,1.0,0.15380618342426605,0.14234792,0.44064149552255333,3999,592,3407
original,1.0,0.15384615384615385,0.14270788,0.44064149552255333,3999,592,3407
original,1.0,0.15388614504808942,0.1432752,0.44064149552255333,3999,592,3407
original,1.0,0.15392615704628185,0.1432851,0.44064149552255333,3999,592,3407
original,1.0,0.1539661898569571,0.14335051,0.44064149552255333,3999,592,3407
original,1.0,0.15400624349635797,0.14341255,0.44064149552255333,3999,592,3407
original,1.0,0.15404631798074422,0.143525,0.44064149552255333,3999,592,3407
original,1.0,0.1540864133263925,0.14353827,0.44064149552255333,3999,592,3407
original,1.0,0.15412652954959646,0.14385405,0.44064149552255333,3999,592,3407
original,1.0,0.15416666666666667,0.14399126,0.44064149552255333,3999,592,3407
original,1.0,0.1542068246939307,0.14410627,0.44064149552255333,3999,592,3407
original,1.0,0.1542470036477332,0.14427358,0.44064149552255333,3999,592,3407
original,1.0,0.15428720354443576,0.14433779,0.44064149552255333,3999,592,3407
original,1.0,0.1543274244004171,0.14455226,0.44064149552255333,3999,592,3407
original,1.0,0.15436766623207301,0.14473529,0.44064149552255333,3999,592,3407
original,1.0,0.15440792905581638,0.14477274,0.44064149552255333,3999,592,3407
original,1.0,0.15444821288807722,0.14494786,0.44064149552255333,3999,592,3407
original,1.0,0.1544885177453027,0.14527489,0.44064149552255333,3999,592,3407
original,1.0,0.1545288436439572,0.14547622,0.44064149552255333,3999,592,3407
original,1.0,0.15456919060052218,0.14589408,0.44064149552255333,3999,592,3407
original,1.0,0.15460955863149647,0.14621253,0.44064149552255333,3999,592,3407
original,1.0,0.15464994775339602,0.14635327,0.44064149552255333,3999,592,3407
original,1.0,0.15469035798275413,0.14638492,0.44064149552255333,3999,592,3407
original,1.0,0.15473078933612128,0.14652947,0.44064149552255333,3999,592,3407
original,1.0,0.15477124183006535,0.14656974,0.44064149552255333,3999,592,3407
original,1.0,0.15481171548117154,0.14661714,0.44064149552255333,3999,592,3407
original,1.0,0.15485221030604238,0.1468868,0.44064149552255333,3999,592,3407
original,1.0,0.15489272632129775,0.14747284,0.44064149552255333,3999,592,3407
original,1.0,0.15493326354357498,0.14751598,0.44064149552255333,3999,592,3407
original,1.0,0.1549738219895288,0.14841303,0.44064149552255333,3999,592,3407
original,1.0,0.15501440167583136,0.14857508,0.44064149552255333,3999,592,3407
original,1.0,0.15505500261917235,0.14992051,0.44064149552255333,3999,592,3407
original,1.0,0.15509562483625886,0.15000889,0.44064149552255333,3999,592,3407
original,1.0,0.15513626834381553,0.15002383,0.44064149552255333,3999,592,3407
original,1.0,0.15517693315858452,0.15041429,0.44064149552255333,3999,592,3407
original,1.0,0.15521761929732564,0.15052958,0.44064149552255333,3999,592,3407
original,1.0,0.15525832677681617,0.15061033,0.44064149552255333,3999,592,3407
original,1.0,0.155299055613851,0.15116481,0.44064149552255333,3999,592,3407
original,1.0,0.1553398058252427,0.15120043,0.44064149552255333,3999,592,3407
original,1.0,0.15538057742782152,0.1512103,0.44064149552255333,3999,592,3407
original,1.0,0.1554213704384353,0.1517092,0.44064149552255333,3999,592,3407
original,1.0,0.15546218487394958,0.15183705,0.44064149552255333,3999,592,3407
original,1.0,0.1555030207512477,0.15228163,0.44064149552255333,3999,592,3407
original,1.0,0.1555438780872307,0.15240829,0.44064149552255333,3999,592,3407
original,1.0,0.15558475689881734,0.15247583,0.44064149552255333,3999,592,3407
original,1.0,0.15562565720294427,0.15258165,0.44064149552255333,3999,592,3407
original,1.0,0.15566657901656586,0.15279947,0.44064149552255333,3999,592,3407
original,1.0,0.1557075223566544,0.1529147,0.44064149552255333,3999,592,3407
original,1.0,0.15574848724019993,0.15317068,0.44064149552255333,3999,592,3407
original,1.0,0.15578947368421053,0.15338728,0.44064149552255333,3999,592,3407
original,1.0,0.15583048170571204,0.15343449,0.44064149552255333,3999,592,3407
original,1.0,0.15587151132174829,0.15424415,0.44064149552255333,3999,592,3407
original,1.0,0.1559125625493811,0.15433511,0.44064149552255333,3999,592,3407
original,1.0,0.1559536354056902,0.15465128,0.44064149552255333,3999,592,3407
original,1.0,0.15599472990777338,0.15475789,0.44064149552255333,3999,592,3407
original,1.0,0.15603584607274645,0.15477319,0.44064149552255333,3999,592,3407
original,1.0,0.15607698391774322,0.15478376,0.44064149552255333,3999,592,3407
original,1.0,0.15611814345991562,0.15487134,0.44064149552255333,3999,592,3407
original,1.0,0.15615932471643365,0.15490036,0.44064149552255333,3999,592,3407
original,1.0,0.15620052770448548,0.15512365,0.44064149552255333,3999,592,3407
original,1.0,0.1562417524412774,0.15561387,0.44064149552255333,3999,592,3407
original,1.0,0.1562829989440338,0.15565355,0.44064149552255333,3999,592,3407
original,1.0,0.15632426722999737,0.15571031,0.44064149552255333,3999,592,3407
original,1.0,0.15636555731642895,0.15603253,0.44064149552255333,3999,592,3407
original,1.0,0.15640686922060767,0.15682365,0.44064149552255333,3999,592,3407
original,1.0,0.15644820295983086,0.15691611,0.44064149552255333,3999,592,3407
original,1.0,0.15648955855141422,0.15705127,0.44064149552255333,3999,592,3407
original,1.0,0.1565309360126917,0.15706679,0.44064149552255333,3999,592,3407
original,1.0,0.1565723353610156,0.15716602,0.44064149552255333,3999,592,3407
original,1.0,0.15661375661375662,0.15717785,0.44064149552255333,3999,592,3407
original,1.0,0.15669666490206458,0.1572042,0.44064149552255333,3999,592,3407
original,1.0,0.1567381519724649,0.15782505,0.44064149552255333,3999,592,3407
original,1.0,0.15677966101694915,0.157902,0.44064149552255333,3999,592,3407
original,1.0,0.15682119205298015,0.158209,0.44064149552255333,3999,592,3407
original,1.0,0.1568627450980392,0.1582269,0.44064149552255333,3999,592,3407
original,1.0,0.1569043201696263,0.15854365,0.44064149552255333,3999,592,3407
original,1.0,0.1569459172852598,0.15863448,0.44064149552255333,3999,592,3407
original,1.0,0.1569875364624768,0.15901035,0.44064149552255333,3999,592,3407
original,1.0,0.1570291777188329,0.15901865,0.44064149552255333,3999,592,3407
original,1.0,0.15707084107190236,0.15919879,0.44064149552255333,3999,592,3407
