cluster_id,size,pos,neg,fold
931,1,1,0,2
932,1,0,1,1
933,1,0,1,0
934,1,0,1,4
935,1,0,1,3
936,1,1,0,2
937,1,0,1,1
938,1,0,1,2
939,1,1,0,4
940,1,0,1,3
941,1,1,0,4
942,1,0,1,1
943,1,0,1,0
944,1,0,1,4
945,1,0,1,3
946,1,1,0,2
947,1,0,1,1
948,1,0,1,0
949,1,0,1,3
950,1,0,1,0
951,1,0,1,2
952,1,0,1,1
953,1,0,1,0
954,1,0,1,4
955,1,0,1,3
956,1,0,1,2
957,1,0,1,1
958,1,0,1,2
959,1,0,1,3
960,1,0,1,4
961,1,0,1,4
962,1,0,1,1
963,1,0,1,0
964,1,0,1,4
965,1,0,1,3
966,1,0,1,2
967,1,0,1,1
968,1,0,1,0
969,1,0,1,3
970,1,0,1,0
971,1,0,1,2
972,1,0,1,1
973,1,0,1,0
974,1,0,1,4
975,1,0,1,3
976,1,0,1,2
977,1,0,1,1
978,1,1,0,2
979,1,0,1,4
980,1,0,1,3
981,1,0,1,4
982,1,0,1,1
983,1,0,1,0
984,1,0,1,4
985,1,0,1,3
986,1,0,1,2
987,1,0,1,1
988,1,0,1,0
989,1,0,1,3
990,1,0,1,0
991,1,0,1,2
992,1,0,1,1
993,1,0,1,0
994,1,0,1,4
995,1,0,1,3
996,1,0,1,2
997,1,0,1,1
998,1,0,1,4
999,1,0,1,3
1000,1,0,1,4
1001,1,1,0,2
1002,1,0,1,1
1003,1,1,0,0
1004,1,0,1,4
1005,1,0,1,3
1006,1,0,1,2
1007,1,0,1,1
1008,1,0,1,0
1009,1,0,1,3
1010,1,0,1,0
1011,1,0,1,2
1012,1,0,1,1
1013,1,0,1,0
1014,1,0,1,4
1015,1,1,0,3
1016,1,0,1,2
1017,1,0,1,1
1018,1,1,0,2
1019,1,0,1,4
1020,1,0,1,3
1021,1,0,1,4
1022,1,0,1,1
1023,1,0,1,0
1024,1,0,1,4
1025,1,0,1,3
1026,1,0,1,2
1027,1,0,1,1
1028,1,0,1,0
1029,1,0,1,3
1030,1,0,1,0
1031,1,0,1,2
1032,1,0,1,1
1033,1,1,0,0
1034,1,0,1,4
1035,1,0,1,3
1036,1,0,1,2
1037,1,0,1,1
1038,1,0,1,2
1039,1,0,1,3
1040,1,1,0,4
1041,1,0,1,4
1042,1,0,1,1
1043,1,0,1,0
1044,1,1,0,4
1045,1,0,1,3
1046,1,0,1,2
1047,1,0,1,1
1048,1,0,1,0
1049,1,0,1,3
1050,1,0,1,0
1051,1,0,1,2
1052,1,0,1,1
1053,1,0,1,0
1054,1,0,1,4
1055,1,0,1,3
1056,1,0,1,2
1057,1,1,0,1
1058,1,0,1,2
1059,1,0,1,3
1060,1,1,0,4
1061,1,0,1,0
1062,1,0,1,0
1063,1,0,1,4
1064,1,0,1,3
1065,1,1,0,2
1066,1,0,1,1
1067,1,0,1,0
1068,1,0,1,4
1069,1,0,1,3
1070,1,0,1,2
1071,1,0,1,1
1072,1,0,1,0
1073,1,1,0,4
1074,1,0,1,3
1075,1,0,1,2
1076,1,0,1,1
1077,1,1,0,4
1078,1,0,1,4
1079,1,0,1,3
1080,1,1,0,2
1081,1,0,1,1
1082,1,0,1,0
1083,1,0,1,4
1084,1,0,1,3
1085,1,0,1,2
1086,1,0,1,1
1087,1,0,1,0
1088,1,0,1,3
1089,1,0,1,0
1090,1,0,1,2
1091,1,1,0,1
1092,1,0,1,0
1093,1,0,1,4
1094,1,0,1,3
1095,1,0,1,2
1096,1,0,1,1
1097,1,0,1,2
1098,1,0,1,4
1099,1,0,1,3
1100,1,0,1,4
1101,1,0,1,1
1102,1,0,1,0
1103,1,0,1,4
1104,1,0,1,3
1105,1,0,1,2
1106,1,0,1,1
1107,1,0,1,0
1108,1,0,1,3
1109,1,0,1,0
1110,1,0,1,2
1111,1,1,0,1
1112,1,0,1,0
1113,1,0,1,4
1114,1,0,1,3
1115,1,1,0,2
1116,1,0,1,1
1117,1,0,1,4
1118,1,0,1,4
1119,1,0,1,3
1120,1,0,1,2
1121,1,0,1,1
1122,1,0,1,0
1123,1,0,1,4
1124,1,0,1,3
1125,1,0,1,2
1126,1,0,1,1
1127,1,0,1,0
1128,1,0,1,3
1129,1,0,1,0
1130,1,1,0,2
1131,1,0,1,1
1132,1,0,1,0
1133,1,0,1,4
1134,1,0,1,3
1135,1,0,1,2
1136,1,0,1,1
1137,1,0,1,2
1138,1,0,1,4
1139,1,0,1,3
1140,1,0,1,4
1141,1,1,0,1
1142,1,0,1,0
1143,1,0,1,4
1144,1,0,1,3
1145,1,0,1,2
1146,1,1,0,1
1147,1,0,1,0
1148,1,0,1,3
1149,1,1,0,0
1150,1,1,0,2
1151,1,1,0,1
1152,1,1,0,0
1153,1,0,1,4
1154,1,1,0,3
1155,1,0,1,2
1156,1,0,1,1
1157,1,1,0,4
1158,1,0,1,3
1159,1,1,0,4
1160,1,0,1,2
1161,1,1,0,1
1162,1,1,0,0
1163,1,0,1,4
1164,1,0,1,3
1165,1,0,1,2
1166,1,0,1,1
1167,1,0,1,0
1168,1,0,1,3
1169,1,0,1,0
1170,1,0,1,2
1171,1,1,0,1
1172,1,0,1,0
1173,1,0,1,4
1174,1,0,1,3
1175,1,0,1,2
1176,1,0,1,1
1177,1,0,1,2
1178,1,0,1,4
1179,1,1,0,3
1180,1,0,1,4
1181,1,0,1,1
1182,1,0,1,0
1183,1,0,1,4
1184,1,0,1,3
1185,1,0,1,2
1186,1,0,1,1
1187,1,0,1,0
1188,1,0,1,3
1189,1,1,0,0
1190,1,0,1,2
1191,1,0,1,1
1192,1,0,1,0
1193,1,1,0,4
1194,1,0,1,3
1195,1,0,1,2
1196,1,0,1,1
1197,1,0,1,2
1198,1,1,0,4
1199,1,0,1,3
1200,1,1,0,4
1201,1,0,1,1
1202,1,0,1,0
1203,1,0,1,4
1204,1,0,1,3
1205,1,0,1,2
1206,1,0,1,1
1207,1,0,1,0
1208,1,0,1,3
1209,1,0,1,0
1210,1,0,1,2
1211,1,0,1,1
1212,1,0,1,0
1213,1,0,1,4
1214,1,0,1,3
1215,1,0,1,2
1216,1,0,1,1
1217,1,0,1,2
1218,1,0,1,4
1219,1,0,1,3
1220,1,0,1,4
1221,1,1,0,1
1222,1,0,1,0
